===== Go 性能诊断详细结果 =====
Go runtime GOMAXPROCS: 12
IntraOpNumThreads: 12
InterOpNumThreads: 1
平均推理延迟: 730.25000 ms
平均Tensor构造延迟: 7.41000 ms
平均总延迟: 738.17000 ms
推理延迟标准差: 30.93134 ms
P50推理延迟: 731.00000 ms
P90推理延迟: 767.00000 ms
P95推理延迟: 779.00000 ms
Start PM: 528.50 MB
Peak PM: 892.52 MB
Stable PM: 892.43 MB
Go Heap Alloc: 16.97 MB
Go Heap Sys: 334.89 MB
GC 次数: 4

===== 详细延迟数据 =====
序号,推理延迟(ms),Tensor构造延迟(ms),总延迟(ms)
1,713.00000,2.00000,716.00000
2,757.00000,7.00000,765.00000
3,758.00000,7.00000,765.00000
4,703.00000,14.00000,718.00000
5,695.00000,8.00000,703.00000
6,765.00000,16.00000,781.00000
7,736.00000,13.00000,749.00000
8,738.00000,11.00000,750.00000
9,722.00000,12.00000,734.00000
10,776.00000,4.00000,781.00000
11,764.00000,1.00000,765.00000
12,774.00000,7.00000,781.00000
13,703.00000,16.00000,719.00000
14,702.00000,16.00000,718.00000
15,744.00000,5.00000,749.00000
16,716.00000,2.00000,718.00000
17,718.00000,16.00000,734.00000
18,758.00000,7.00000,765.00000
19,797.00000,14.00000,812.00000
20,717.00000,1.00000,719.00000
21,747.00000,1.00000,749.00000
22,717.00000,2.00000,719.00000
23,724.00000,9.00000,734.00000
24,772.00000,9.00000,781.00000
25,713.00000,5.00000,719.00000
26,725.00000,9.00000,734.00000
27,700.00000,3.00000,703.00000
28,747.00000,2.00000,750.00000
29,708.00000,10.00000,718.00000
30,768.00000,13.00000,781.00000
31,745.00000,1.00000,747.00000
32,703.00000,16.00000,719.00000
33,768.00000,11.00000,780.00000
34,753.00000,12.00000,765.00000
35,733.00000,16.00000,750.00000
36,722.00000,12.00000,734.00000
37,758.00000,8.00000,766.00000
38,732.00000,2.00000,735.00000
39,728.00000,6.00000,734.00000
40,752.00000,13.00000,765.00000
41,764.00000,1.00000,766.00000
42,716.00000,2.00000,719.00000
43,728.00000,5.00000,734.00000
44,695.00000,7.00000,703.00000
45,733.00000,17.00000,750.00000
46,731.00000,2.00000,734.00000
47,758.00000,7.00000,765.00000
48,744.00000,5.00000,750.00000
49,722.00000,11.00000,734.00000
50,750.00000,16.00000,766.00000
51,753.00000,1.00000,755.00000
52,728.00000,6.00000,735.00000
53,731.00000,2.00000,734.00000
54,723.00000,11.00000,735.00000
55,682.00000,4.00000,687.00000
56,670.00000,1.00000,672.00000
57,687.00000,15.00000,703.00000
58,721.00000,13.00000,734.00000
