Timestamp,Elapsed_Seconds,PM_MB
20.628,20.62822,691.17578
41.434,41.43368,691.17578
62.187,62.18713,691.17578
82.912,82.91192,691.17578
103.651,103.65075,689.95312
124.358,124.35811,689.95312
145.081,145.08051,689.95312
165.724,165.72380,689.95312
186.430,186.43043,689.95312
207.152,207.15173,689.95312
227.905,227.90541,689.95312
248.597,248.59654,689.95312
269.257,269.25665,689.95312
289.932,289.93165,689.95312
310.607,310.60735,689.95312
331.298,331.29796,689.95312
352.004,352.00353,689.95312
372.663,372.66300,689.95312
393.214,393.21372,689.95312
413.842,413.84226,689.95312
434.548,434.54849,689.95312
455.192,455.19181,689.95312
475.898,475.89809,689.95312
496.574,496.57369,689.95312
517.281,517.28093,689.95312
537.925,537.92533,689.95312
558.617,558.61661,689.95312
579.166,579.16648,689.95312
599.826,599.82640,689.95312
