Hour,TotalInfer,HourlyInfer,Throughput(sec),AvgLatency(ms),P50Latency(ms),P99Latency(ms),PM_MB,GCNum,Timestamp
1,5909,5909,1.641199,606.274,593.949,1125.536,576.90,30,2026-06-30 11:02:59
2,11986,6077,1.688074,590.189,584.935,671.656,577.01,59,2026-06-30 12:02:59
3,18076,6090,1.691865,588.851,581.188,641.349,577.05,89,2026-06-30 13:02:58
4,24160,6084,1.689936,589.399,584.614,663.462,577.43,119,2026-06-30 14:02:58
5,30242,6082,1.689432,589.698,594.022,626.930,577.43,149,2026-06-30 15:02:58
6,36308,6066,1.684843,591.631,594.238,657.206,577.77,179,2026-06-30 16:02:59
7,42381,6073,1.687007,590.584,594.243,627.345,577.77,209,2026-06-30 17:02:59
8,48442,6061,1.683758,591.616,594.241,657.204,578.19,239,2026-06-30 18:02:58
9,54508,6066,1.684964,591.320,594.199,641.581,578.19,269,2026-06-30 19:02:58
10,60569,6061,1.683443,591.765,594.221,656.508,578.73,299,2026-06-30 20:02:59
11,66624,6055,1.682109,592.096,594.187,656.991,578.35,328,2026-06-30 21:02:58
12,72604,5980,1.661038,599.498,594.384,953.372,578.64,358,2026-06-30 22:02:59
13,78654,6050,1.680701,592.610,594.355,641.466,578.52,388,2026-06-30 23:02:58
14,84689,6035,1.676271,594.337,594.423,687.644,578.52,418,2026-07-01 00:02:59
15,90724,6035,1.676518,594.136,594.404,687.925,578.95,448,2026-07-01 01:02:58
16,96756,6032,1.675488,594.306,594.420,673.029,578.70,478,2026-07-01 02:02:58
17,102773,6017,1.671451,595.706,594.471,688.191,578.70,508,2026-07-01 03:02:58
18,108795,6022,1.672800,595.515,594.478,688.159,578.70,538,2026-07-01 04:02:58
19,114820,6025,1.673621,595.078,594.472,685.520,579.77,568,2026-07-01 05:02:58
20,120852,6032,1.675499,594.308,594.439,672.817,578.96,598,2026-07-01 06:02:58
21,126885,6033,1.675831,594.458,594.463,657.307,578.96,627,2026-07-01 07:02:58
22,132923,6038,1.677280,593.935,594.422,642.369,578.96,657,2026-07-01 08:02:58
23,138902,5979,1.660615,599.120,594.558,781.819,578.96,687,2026-07-01 09:02:59
24,144912,6010,1.669692,596.741,594.537,688.522,579.84,717,2026-07-01 10:02:58
25,150923,6011,1.669496,596.700,594.526,703.943,579.30,747,2026-07-01 11:02:59
26,156963,6040,1.677980,593.670,594.496,641.027,579.30,777,2026-07-01 12:02:58
27,162993,6030,1.674792,594.927,594.461,673.131,579.30,807,2026-07-01 13:02:59
28,169023,6030,1.675255,594.534,594.500,657.663,579.30,837,2026-07-01 14:02:58
29,175039,6016,1.670907,595.853,594.510,687.818,579.30,867,2026-07-01 15:02:59
30,181072,6033,1.676061,594.562,594.486,656.673,580.55,897,2026-07-01 16:02:58
31,187097,6025,1.673355,594.808,594.473,641.718,579.74,927,2026-07-01 17:02:59
