Inference#,Latency(ms),RSS(MB),Timestamp
1,705.00000,581.11719,06:07:45.596
2,706.00000,581.13281,06:07:46.325
3,700.00000,581.13281,06:07:47.029
4,686.00000,581.13281,06:07:47.716
5,689.00000,581.13281,06:07:48.420
6,691.00000,581.13281,06:07:49.124
7,694.00000,581.13281,06:07:49.827
8,684.00000,581.13281,06:07:50.516
9,689.00000,581.13281,06:07:51.219
10,694.00000,581.13281,06:07:51.922
11,697.00000,581.13281,06:07:52.626
12,697.00000,581.13281,06:07:53.329
13,685.00000,581.13281,06:07:54.017
14,693.00000,581.13281,06:07:54.720
15,692.00000,581.13281,06:07:55.424
16,697.00000,581.13281,06:07:56.127
17,686.00000,581.13281,06:07:56.815
18,681.00000,581.13281,06:07:57.503
19,695.00000,581.13281,06:07:58.207
20,697.00000,581.13281,06:07:58.911
