===== Python CPU 监控测试结果 =====

模型: YOLO11x
输入尺寸: 1x3x640x640
intra_op_num_threads: 1
inter_op_num_threads: 1

系统信息:
  物理核心数: 6
  逻辑核心数: 12
  当前 CPU 频率: 2901 MHz

性能指标:
  总请求数: 50
  平均延迟: 2063.76 ms
  平均 CPU 使用率: 99.44%
  峰值 CPU 使用率: 100.80%
  最低 CPU 使用率: 94.00%

详细数据:
请求号, 延迟(ms), CPU使用率(%)
1, 2063.58, 99.30
2, 2053.61, 100.80
3, 2053.49, 99.20
4, 2055.38, 100.80
5, 2051.59, 98.50
6, 2051.03, 100.00
7, 2040.73, 99.20
8, 2055.37, 98.50
9, 2056.04, 99.30
10, 2069.72, 100.00
11, 2064.41, 100.00
12, 2059.45, 99.20
13, 2068.17, 100.00
14, 2070.21, 94.00
15, 2067.75, 100.00
16, 2070.79, 100.00
17, 2071.37, 100.00
18, 2060.02, 97.00
19, 2071.22, 100.00
20, 2067.01, 100.00
21, 2064.54, 99.30
22, 2070.46, 100.00
23, 2073.17, 100.00
24, 2060.24, 99.30
25, 2071.00, 99.30
26, 2070.95, 98.50
27, 2065.42, 99.30
28, 2066.85, 100.70
29, 2066.43, 100.00
30, 2072.95, 99.30
31, 2076.43, 99.30
32, 2064.25, 100.00
33, 2067.63, 100.00
34, 2060.20, 100.00
35, 2069.96, 100.80
36, 2066.92, 99.30
37, 2063.32, 100.00
38, 2077.01, 100.00
39, 2068.09, 100.00
40, 2065.04, 100.80
41, 2063.90, 99.20
42, 2056.94, 100.80
43, 2049.37, 99.20
44, 2054.90, 99.30
45, 2066.98, 99.20
46, 2068.34, 99.30
47, 2064.18, 98.50
48, 2059.21, 100.00
49, 2070.82, 100.00
50, 2051.52, 94.70
