cycle,pm_arena_on,pm_arena_off
1,424.9296875,486.11328125
2,425.48046875,486.44140625
3,427.09765625,486.7578125
4,425.97265625,486.546875
5,426.41796875,486.55078125
6,426.26953125,487.12109375
7,428.05078125,487.1328125
8,426.68359375,487.1328125
9,428.796875,487.6875
10,432.421875,487.6875
11,431.27734375,486.98828125
12,430.31640625,487.5546875
13,429.17578125,485.8359375
14,429.5703125,486.27734375
15,430.0390625,486.84375
16,428.91796875,486.2578125
17,426.73828125,487.328125
18,431.015625,487.484375
19,430.06640625,487.484375
20,428.09765625,487.96875
21,430.60546875,489.09375
22,467.53515625,487.51171875
23,429.64453125,486.36328125
24,471.35546875,485.21484375
25,473.390625,486.109375
26,474.734375,486.36328125
27,475.12109375,486.08984375
28,473.83203125,429.60546875
29,474.8125,484.7109375
30,477.7734375,484.7265625
31,428.11328125,486.1640625
32,479.51953125,485.14453125
33,479.04296875,485.0859375
34,476.26171875,485.41796875
35,477.66796875,486.5625
36,476.984375,487.7109375
37,478.98828125,486.8203125
38,481.28515625,487.65234375
39,481.20703125,487.65234375
40,481.6640625,488.18359375
41,481.62109375,488.18359375
42,482.25,488.09765625
43,481.51171875,488.54296875
44,482.00390625,487.50390625
45,480.71484375,488.08203125
46,482.40625,488.19921875
47,481.96875,487.77734375
48,481.5,487.77734375
49,428.796875,487.7734375
50,480.1171875,488.34375
51,482.30078125,488.8984375
52,481.1484375,488.796875
53,481.3203125,488.34375
54,480.8359375,487.5
55,481.6328125,487.5
56,481.921875,488.0625
57,482.65234375,488.0703125
58,483.18359375,488.6015625
59,483.13671875,488.546875
60,481.7421875,488.06640625
61,481.4296875,487.7578125
62,481.328125,487.7578125
63,480.3359375,487.7578125
64,481.2421875,433.7578125
65,480.72265625,488.0
66,482.23828125,429.11328125
67,482.80859375,487.96484375
68,482.46875,487.4140625
69,482.71484375,487.46484375
70,481.68359375,487.48828125
71,481.96875,487.75390625
72,482.54296875,488.32421875
73,481.84375,488.3203125
74,480.76171875,487.75390625
75,480.1953125,488.3359375
76,482.4921875,488.890625
77,482.17578125,488.578125
78,482.3046875,488.01171875
79,481.73046875,488.59375
80,482.06640625,489.1484375
81,482.078125,488.8359375
82,484.31640625,488.8359375
83,483.53125,488.9921875
84,483.7421875,487.84765625
85,430.70703125,487.77734375
86,483.48828125,487.77734375
87,482.61328125,488.34765625
88,483.03515625,488.87109375
89,483.93359375,489.44921875
90,483.9921875,490.00390625
91,483.37890625,488.4140625
92,483.23828125,488.421875
93,484.3828125,489.5703125
94,485.34375,490.125
95,484.18359375,490.125
96,484.4609375,489.99609375
97,484.4453125,489.99609375
98,485.0625,489.9921875
99,483.9609375,489.9921875
100,484.53125,489.984375
101,485.15234375,428.51171875
102,484.5625,489.09765625
103,484.5625,489.10546875
104,485.69921875,489.015625
105,483.16015625,489.53515625
106,482.96875,489.53515625
107,482.55078125,489.53125
108,483.75390625,489.6015625
109,484.58203125,489.6015625
110,484.453125,490.16796875
111,485.0859375,489.6015625
112,484.83203125,489.6015625
113,484.3828125,488.97265625
114,484.6953125,488.39453125
115,484.6953125,488.3984375
116,484.6953125,488.39453125
117,484.6953125,487.828125
118,486.08984375,488.3984375
119,486.5625,488.96484375
120,485.6015625,488.859375
121,484.7265625,487.828125
122,485.62890625,488.390625
123,430.21484375,488.3984375
124,482.66015625,487.90625
125,484.0078125,487.26171875
126,484.44140625,487.8203125
127,484.4609375,487.3515625
128,484.62109375,486.76953125
129,484.6328125,486.16796875
130,482.8828125,486.16796875
131,483.95703125,486.0859375
132,485.66796875,486.8125
133,485.23046875,487.93359375
134,484.609375,487.8359375
135,485.1796875,488.390625
136,485.24609375,488.390625
137,484.18359375,488.390625
138,484.1953125,428.91796875
139,486.30078125,487.4453125
140,485.73828125,487.31640625
141,485.546875,487.31640625
142,485.53125,487.2109375
143,486.64453125,487.75390625
144,487.2109375,487.82421875
145,484.96875,487.82421875
146,485.8046875,488.37890625
147,485.30859375,488.36328125
148,485.30859375,488.76953125
149,486.453125,489.26953125
150,486.20703125,488.5078125
151,486.78515625,487.94140625
152,486.90234375,487.36328125
153,484.27734375,487.625
154,484.85546875,488.44921875
155,485.36328125,488.44921875
156,486.0,488.4453125
157,486.56640625,488.4453125
158,487.12890625,487.85546875
159,486.0703125,487.890625
160,486.63671875,488.45703125
161,487.13671875,488.7109375
162,427.8984375,489.28125
163,484.484375,488.24609375
164,485.046875,488.81640625
165,485.05859375,488.8125
166,485.109375,488.81640625
167,485.12109375,489.3828125
168,486.25390625,489.87890625
169,485.26953125,489.30078125
170,486.40234375,489.29296875
171,486.96875,488.71484375
172,486.28125,488.71484375
173,487.0859375,489.28125
174,488.78125,489.28125
175,489.296875,489.28125
176,489.296875,488.71484375
177,486.62109375,488.70703125
178,486.04296875,488.59375
179,486.04296875,489.7265625
180,486.671875,489.3046875
181,487.6875,489.27734375
182,487.6875,489.26953125
183,486.67578125,488.73828125
184,487.30859375,488.73046875
185,487.1875,488.73046875
186,487.16015625,488.171875
187,487.14453125,488.73046875
188,487.70703125,488.17578125
189,487.70703125,488.73046875
190,487.70703125,488.73828125
191,488.27734375,489.30859375
192,488.2734375,489.265625
193,488.25390625,489.26171875
194,488.8203125,488.74609375
195,488.25,488.73828125
196,487.82421875,488.73046875
197,487.2578125,488.73828125
198,487.2421875,489.3046875
199,487.8125,489.30859375
200,487.8125,488.73828125
201,487.234375,488.7109375
202,487.75,488.50390625
203,430.87890625,488.19140625
204,485.65234375,488.203125
205,486.32421875,488.19921875
206,486.328125,488.1875
207,486.328125,488.1875
208,486.3359375,487.62109375
209,486.3515625,488.18359375
210,486.93359375,488.1875
211,486.8125,428.8984375
212,487.55859375,487.6484375
213,486.359375,486.53515625
214,486.359375,486.54296875
215,485.8125,487.12109375
216,485.796875,488.51171875
217,486.1171875,488.07421875
218,486.74609375,487.5078125
219,487.3203125,487.05859375
220,487.31640625,487.08984375
221,487.31640625,487.40625
222,487.3125,487.66015625
223,487.87890625,487.671875
224,487.3125,488.23828125
225,487.3125,487.66796875
226,486.68359375,487.08984375
227,486.9453125,487.65234375
228,486.953125,487.08984375
229,487.76953125,487.08984375
230,488.3046875,487.65625
231,488.91015625,487.65625
232,488.80078125,488.22265625
233,488.234375,487.65625
234,487.66796875,487.66015625
235,487.2109375,488.2265625
236,487.1953125,488.2265625
237,486.6328125,487.66015625
238,487.203125,488.22265625
239,486.64453125,488.22265625
240,487.19921875,487.66015625
241,486.6328125,488.2265625
242,487.13671875,488.2265625
243,430.91015625,488.796875
244,484.06640625,488.80078125
245,484.07421875,488.23828125
246,485.2421875,488.80078125
247,485.82421875,488.796875
248,487.22265625,430.3515625
249,485.8359375,487.58203125
250,485.84375,487.65234375
251,485.72265625,487.609375
252,486.18359375,487.6171875
253,486.0703125,488.1796875
254,485.78515625,488.18359375
255,485.91796875,488.44140625
256,486.11328125,488.4375
257,486.5703125,488.4375
258,487.7421875,488.31640625
259,487.74609375,488.2890625
260,488.87109375,488.85546875
261,488.30859375,489.4453125
262,488.30859375,488.46875
263,488.30859375,487.91015625
264,487.67578125,488.4921875
265,486.69140625,489.046875
266,486.6875,489.578125
267,486.5625,488.48046875
268,486.87109375,488.37109375
269,486.87109375,488.9296875
270,486.62890625,488.92578125
271,486.5,488.94140625
272,487.61328125,488.9375
273,487.6015625,488.37109375
274,488.73046875,488.9296875
275,487.6015625,488.3671875
276,486.6875,488.9296875
277,485.984375,488.875
278,486.61328125,489.1953125
279,486.61328125,488.87109375
280,486.05078125,488.4921875
281,486.62109375,488.4921875
282,486.0390625,487.9296875
283,486.0390625,489.08203125
284,429.87109375,488.50390625
285,484.85546875,430.94921875
286,485.1953125,487.01953125
287,485.6171875,487.12109375
288,485.83203125,487.14453125
289,485.265625,486.5625
290,485.70703125,487.12109375
291,486.4140625,486.8125
292,485.27734375,487.375
293,486.21484375,486.8125
294,485.9140625,487.26953125
295,486.484375,486.828125
296,486.4921875,487.3984375
297,486.4921875,486.828125
298,488.0625,486.828125
299,487.9453125,486.828125
300,488.0703125,487.39453125
301,488.0703125,487.96484375
302,488.07421875,487.40234375
303,488.0703125,487.9609375
304,487.5,488.28125
305,487.5,487.1484375
306,487.1328125,487.9765625
307,487.70703125,488.50390625
308,488.27734375,488.46875
309,488.2734375,487.8828125
310,488.2734375,487.3515625
311,488.26953125,487.3515625
312,488.26953125,486.84375
313,488.265625,487.41015625
314,488.265625,487.9765625
315,488.8359375,487.86328125
316,489.296875,488.4296875
317,489.09375,488.41796875
318,487.8984375,488.984375
319,487.890625,488.42578125
320,486.75390625,489.55859375
321,486.75390625,489.06640625
322,487.38671875,428.3046875
323,487.91796875,488.4375
324,487.390625,488.44921875
325,429.796875,487.9140625
326,487.37890625,487.9296875
327,487.63671875,487.9296875
328,487.63671875,487.9296875
329,487.66015625,487.984375
330,487.66015625,487.95703125
331,488.23046875,487.375
332,488.2265625,486.796875
333,488.1640625,486.234375
334,487.04296875,486.234375
335,486.4765625,486.796875
336,487.0,486.796875
337,487.05859375,487.3671875
338,486.4921875,486.75
339,486.93359375,487.3125
340,486.94140625,488.46875
341,486.5,486.75
342,486.5,487.3203125
343,487.515625,487.33203125
344,486.9375,487.91015625
345,487.80078125,487.88671875
346,486.94921875,487.88671875
347,486.515625,487.3125
348,486.515625,486.75
349,487.015625,487.90234375
350,487.5234375,488.484375
351,487.5234375,486.75
352,487.5234375,486.75
353,487.13671875,487.63671875
354,487.640625,487.3125
355,487.65234375,487.32421875
356,488.0,487.9140625
357,488.23046875,488.4765625
358,488.9921875,435.296875
359,488.9921875,428.6796875
360,489.49609375,487.1484375
361,488.48828125,487.77734375
362,489.00390625,488.35546875
363,489.5078125,487.19921875
364,489.5078125,487.44921875
365,488.359375,486.88671875
366,429.58984375,487.45703125
367,486.37109375,486.33203125
368,485.91015625,486.33203125
369,486.68359375,486.34765625
370,487.2578125,486.34765625
371,487.79296875,486.91015625
372,487.6953125,487.48046875
373,487.2734375,486.91796875
374,486.71875,486.34765625
375,487.29296875,486.91796875
376,486.7421875,486.9296875
377,487.30859375,486.9375
378,487.875,486.9453125
379,487.87890625,486.9453125
380,487.875,486.3828125
381,487.87890625,487.08203125
382,488.4453125,487.90234375
383,488.14453125,488.453125
384,488.703125,487.3125
385,488.1328125,487.87109375
386,488.13671875,487.87109375
387,488.703125,487.7421875
388,487.56640625,486.60546875
389,487.56640625,487.16796875
390,487.56640625,486.60546875
391,488.0703125,487.171875
392,488.56640625,487.7421875
393,488.07421875,487.16796875
394,489.203125,487.6328125
395,489.08203125,431.33984375
396,489.05078125,485.90625
397,488.83984375,486.53515625
398,488.8359375,486.25
399,488.1328125,487.43359375
400,487.5546875,486.84765625
401,486.93359375,486.84765625
402,487.48828125,487.41796875
403,486.86328125,486.84375
404,486.328125,486.8515625
405,486.31640625,486.84375
406,486.8125,486.87109375
407,428.77734375,487.43359375
408,485.37109375,487.44921875
409,485.6953125,487.44921875
410,485.63671875,486.88671875
411,485.64453125,486.5703125
412,486.08984375,487.15625
413,486.0859375,486.578125
414,485.6484375,486.6015625
415,485.6484375,487.1640625
416,485.671875,486.6015625
417,486.75390625,486.6015625
418,486.15625,486.6015625
419,486.75,487.16796875
420,487.87109375,487.9921875
421,487.65234375,487.99609375
422,487.3828125,487.8984375
423,487.17578125,488.453125
424,486.3203125,489.05078125
425,485.7421875,489.60546875
426,486.55859375,489.5
427,486.3125,488.46875
428,486.88671875,487.89453125
429,487.41796875,487.89453125
430,487.40234375,487.89453125
431,487.33984375,488.4609375
432,486.8828125,429.55078125
433,486.87890625,487.79296875
434,486.69921875,487.1328125
435,486.31640625,486.6484375
436,485.7421875,487.22265625
437,486.62890625,486.6640625
438,485.7421875,486.8828125
439,486.3125,487.44921875
440,486.68359375,488.0078125
441,485.7421875,487.421875
442,485.7421875,487.41015625
443,485.7421875,488.00390625
444,485.7421875,488.265625
445,487.12890625,488.26171875
446,486.0234375,487.1171875
447,486.33984375,487.6796875
448,486.90625,487.68359375
449,429.66796875,488.25390625
450,485.4375,487.58203125
451,485.4609375,487.6953125
452,485.5078125,487.68359375
453,486.078125,487.64453125
454,486.33984375,488.1015625
455,486.90625,487.6875
456,486.45703125,487.69921875
457,487.0234375,487.70703125
458,487.59765625,487.703125
459,487.02734375,488.296875
460,486.4609375,488.84765625
461,485.76171875,488.2578125
462,486.328125,488.25390625
463,485.703125,487.68359375
464,485.6953125,487.1171875
465,486.765625,487.15625
466,486.19140625,488.3046875
467,486.15234375,488.29296875
468,486.0234375,488.8515625
469,486.16796875,428.34375
470,486.1640625,487.19921875
471,485.59765625,487.4140625
472,485.59375,487.45703125
473,486.03515625,486.8828125
474,486.48828125,486.890625
475,487.0625,487.47265625
476,487.625,486.91015625
477,485.9140625,487.47265625
478,485.8359375,486.91015625
479,485.8359375,487.47265625
480,485.83203125,487.16796875
481,485.83203125,487.7265625
482,485.84765625,487.73046875
483,487.359375,487.16796875
484,487.15625,487.7421875
485,486.20703125,486.59765625
486,486.26171875,487.1640625
487,486.23046875,487.73046875
488,485.75,487.6953125
489,485.49609375,487.6171875
490,434.29296875,487.6171875
491,429.1640625,488.45703125
492,484.109375,488.4453125
493,485.5234375,488.4453125
494,485.54296875,488.4453125
495,484.71484375,488.734375
496,484.41796875,489.30078125
497,484.41796875,489.30078125
498,484.98828125,487.44921875
499,484.8203125,488.015625
500,485.52734375,487.453125
