cycle,pm_arena_on,pm_arena_off
1,425.82421875,484.75390625
2,428.09765625,484.609375
3,424.94921875,485.71484375
4,426.33984375,485.15625
5,427.63671875,485.171875
6,426.92578125,485.18359375
7,426.73828125,485.76171875
8,428.171875,484.609375
9,430.125,485.7421875
10,433.171875,485.75390625
11,430.66796875,485.75390625
12,429.7109375,485.17578125
13,429.796875,485.75
14,430.296875,484.609375
15,427.01953125,485.74609375
16,430.109375,485.1484375
17,431.00390625,484.90234375
18,430.58203125,486.34765625
19,431.109375,485.4609375
20,428.28125,484.9453125
21,429.015625,485.51171875
22,429.796875,485.51171875
23,469.7265625,485.51171875
24,429.546875,485.51171875
25,473.1484375,485.51171875
26,473.83203125,485.51171875
27,475.6484375,484.625
28,474.74609375,486.01171875
29,476.703125,485.44921875
30,475.296875,485.7578125
31,477.38671875,486.31640625
32,432.71484375,485.75
33,478.48828125,484.609375
34,477.48828125,432.62890625
35,476.8046875,483.8359375
36,474.9140625,483.859375
37,476.43359375,485.046875
38,478.17578125,484.19921875
39,478.2578125,484.5234375
40,477.52734375,484.94921875
41,477.9453125,484.05859375
42,477.15625,484.62890625
43,479.48046875,485.765625
44,474.265625,484.625
45,472.3984375,485.16796875
46,472.06640625,485.1640625
47,474.33203125,484.59765625
48,477.19140625,485.16796875
49,432.6484375,485.171875
50,477.28515625,484.59765625
51,427.55859375,486.62109375
52,478.65625,486.0546875
53,477.640625,484.91015625
54,475.4296875,484.91015625
55,474.95703125,484.59765625
56,475.75390625,485.73046875
57,477.703125,485.171875
58,478.30859375,485.17578125
59,479.20703125,485.74609375
60,479.140625,485.1640625
61,478.24609375,486.046875
62,476.89453125,485.19140625
63,476.26171875,484.61328125
64,474.828125,485.734375
65,477.52734375,485.1640625
66,478.76953125,484.59765625
67,478.15625,484.59765625
68,480.8984375,485.16796875
69,480.34765625,486.3046875
70,482.10546875,485.1640625
71,482.26171875,429.25
72,480.41015625,484.796875
73,479.53125,485.65234375
74,480.40234375,485.7109375
75,481.19921875,485.703125
76,482.44921875,487.42578125
